Information Type LHS,Information Type RHS,Relation
access device,technical data,hypernymy
access device,technical information,hypernymy
access device,technically gathered information,hypernymy
access device,technology,hypernymy
access devices,technical data,hypernymy
access devices,technical information,hypernymy
access devices,technically gathered information,hypernymy
access devices,technology,hypernymy
access times,interactions,hypernymy
access times,log data,hypernymy
access times,log information,hypernymy
access times,usage information,hypernymy
access times,usage,hypernymy
achievements,game usage information,hypernymy
ads clicked,browser information,hypernymy
ads clicked,clicks,hypernymy
ads viewed,browser information,hypernymy
ads viewed,interactions,hypernymy
ads viewed,log data,hypernymy
ads viewed,log information,hypernymy
ads viewed,usage information,hypernymy
ads viewed,usage,hypernymy
advertiser id,identifiers,hypernymy
advertiser id,identifying information,hypernymy
advertising id,identifiers,hypernymy
advertising id,identifying information,hypernymy
aggregated data,information,hypernymy
android id,mobile device id,hypernymy
android id,mobile device identifiers,hypernymy
android id,mobile device ids,hypernymy
android id,unique device id,hypernymy
android id,unique device identifier,hypernymy
android id,unique device identifiers,hypernymy
android id,unique device ids,hypernymy
android id,unique user device number,hypernymy
anonymized information,information,hypernymy
anonymous user usage data,anonymized information,hypernymy
anonymous user usage data,interactions,hypernymy
anonymous user usage data,usage information,hypernymy
anonymous user usage data,usage,hypernymy
apple game center id,unique identifier,hypernymy
apple game center id,unique identifiers,hypernymy
application information,software information,hypernymy
application information,software,hypernymy
application software,application information,hypernymy
application software,applications,hypernymy
application usage information,application information,hypernymy
application usage information,applications,hypernymy
application usage information,interactions,hypernymy
application usage information,usage information,hypernymy
application usage information,usage,hypernymy
application version number,application information,hypernymy
application version number,applications,hypernymy
application version number,version,hypernymy
applications,software information,hypernymy
applications,software,hypernymy
approximate location,geo-location information,hypernymy
approximate location,geo-location,hypernymy
approximate location,geographic data,hypernymy
approximate location,geographic information,hypernymy
approximate location,geographic location information,hypernymy
approximate location,geographic location,hypernymy
approximate location,location data,hypernymy
approximate location,location information,hypernymy
approximate location,location,hypernymy
approximate location,locations,hypernymy
area code,phone number,hypernymy
area code,telephone number,hypernymy
bandwidth,network performance,hypernymy
battery level,access device,hypernymy
battery level,access devices,hypernymy
battery level,device information,hypernymy
battery level,device,hypernymy
battery level,device-related data,hypernymy
battery level,device-related information,hypernymy
battery level,device-specific information,hypernymy
battery level,machine,hypernymy
brower language,browser information,hypernymy
browser information,software information,hypernymy
browser information,software,hypernymy
browser language,browser information,hypernymy
browser language,language,hypernymy
browser type,browser information,hypernymy
browser types,browser information,hypernymy
call duration,telephony log information,hypernymy
call time,telephony log information,hypernymy
call types,telephony log information,hypernymy
calling-party number,telephony log information,hypernymy
carrier network,internet service provider,hypernymy
carrier network,isp,hypernymy
cell towers,geo-location information,hypernymy
cell towers,geo-location,hypernymy
cell towers,geographic data,hypernymy
cell towers,geographic information,hypernymy
cell towers,geographic location information,hypernymy
cell towers,geographic location,hypernymy
cell towers,location data,hypernymy
cell towers,location information,hypernymy
cell towers,location,hypernymy
cell towers,locations,hypernymy
chat histories,text messages,hypernymy
city,state,hypernymy
click count,clicks,hypernymy
clicks,content interactions,hypernymy
cm browser input,browser information,hypernymy
cm browser input,interactions,hypernymy
cm browser input,usage information,hypernymy
cm browser input,usage,hypernymy
coarse location,geo-location information,hypernymy
coarse location,geo-location,hypernymy
coarse location,geographic data,hypernymy
coarse location,geographic information,hypernymy
coarse location,geographic location information,hypernymy
coarse location,geographic location,hypernymy
coarse location,location data,hypernymy
coarse location,location information,hypernymy
coarse location,location,hypernymy
coarse location,locations,hypernymy
communications,user information,hypernymy
computer information,access device,hypernymy
computer information,access devices,hypernymy
computer information,device information,hypernymy
computer information,device,hypernymy
computer information,device-related data,hypernymy
computer information,device-related information,hypernymy
computer information,device-specific information,hypernymy
computer information,machine,hypernymy
computer performance,computer information,hypernymy
computer performance,computer system information,hypernymy
computer system information,access device,hypernymy
computer system information,access devices,hypernymy
computer system information,device information,hypernymy
computer system information,device,hypernymy
computer system information,device-related data,hypernymy
computer system information,device-related information,hypernymy
computer system information,device-specific information,hypernymy
computer system information,machine,hypernymy
contact entries,user information,hypernymy
contact folder,user information,hypernymy
contact list,user information,hypernymy
contacts folder,user information,hypernymy
contacts,user information,hypernymy
content interactions,interactions,hypernymy
content interactions,usage information,hypernymy
content interactions,usage,hypernymy
cookies,browser information,hypernymy
country,geographic area,hypernymy
crash reports,diagnostic information,hypernymy
crash reports,event,hypernymy
crash reports,log data,hypernymy
crash reports,log information,hypernymy
crashes,diagnostic information,hypernymy
crashes,event,hypernymy
crashes,log data,hypernymy
crashes,log information,hypernymy
date,log data,hypernymy
date,log information,hypernymy
datestamp,log data,hypernymy
datestamp,log information,hypernymy
demographic information,information,hypernymy
device brand,hardware information,hypernymy
device brand,hardware,hypernymy
device brand,mobile device information,hypernymy
device brand,mobile device,hypernymy
device brand,software information,hypernymy
device brand,software,hypernymy
device characteristics,access device,hypernymy
device characteristics,access devices,hypernymy
device characteristics,device information,hypernymy
device characteristics,device,hypernymy
device characteristics,device-related data,hypernymy
