Information Type LHS,Information Type RHS,Relation
access device,technical data,hypernymy
access device,technical information,hypernymy
access device,technically gathered information,hypernymy
access device,technological information,hypernymy
access device,technology,hypernymy
access devices,technical data,hypernymy
access devices,technical information,hypernymy
access devices,technically gathered information,hypernymy
access devices,technological information,hypernymy
access devices,technology,hypernymy
access times,interactions,hypernymy
access times,time,hypernymy
access times,timestamp,hypernymy
access times,usage information,hypernymy
access times,usage,hypernymy
achievements,game usage information,hypernymy
actual location,technical data,hypernymy
actual location,technical information,hypernymy
actual location,technically gathered information,hypernymy
actual location,technological information,hypernymy
address book,user information,hypernymy
ads clicked,browser information,hypernymy
ads clicked,browser,hypernymy
ads clicked,clicks,hypernymy
ads clicked,taps,hypernymy
ads viewed,browser information,hypernymy
ads viewed,browser,hypernymy
ads viewed,content viewed,hypernymy
advertiser id,identifiers,hypernymy
advertiser id,identifying information,hypernymy
advertising id,identifiers,hypernymy
advertising id,identifying information,hypernymy
advertising identifier,identifiers,hypernymy
advertising identifier,identifying information,hypernymy
aggregated data,data,hypernymy
aggregated data,information,hypernymy
aggregated user data,aggregated data,hypernymy
aggregated user data,analytics information,hypernymy
aggregated user data,statistics,hypernymy
analytics information,data,hypernymy
analytics information,information,hypernymy
android id,device unique identifier,hypernymy
android id,mobile device id,hypernymy
android id,mobile device identifiers,hypernymy
android id,mobile device ids,hypernymy
android id,udid,hypernymy
android id,unique device id,hypernymy
android id,unique device identifier,hypernymy
android id,unique device identifiers,hypernymy
android id,unique device ids,hypernymy
android id,unique user device number,hypernymy
anonymized information,data,hypernymy
anonymized information,information,hypernymy
anonymous demographic information,anonymized information,hypernymy
anonymous demographic information,demographic information,hypernymy
anonymous location data,actual location,hypernymy
anonymous location data,anonymized information,hypernymy
anonymous location data,geo-location information,hypernymy
anonymous location data,geo-location,hypernymy
anonymous location data,geographic data,hypernymy
anonymous location data,geographic information,hypernymy
anonymous location data,geographic location information,hypernymy
anonymous location data,geographic location,hypernymy
anonymous location data,location data,hypernymy
anonymous location data,location information,hypernymy
anonymous location data,location,hypernymy
anonymous location data,locations,hypernymy
anonymous user usage data,anonymized information,hypernymy
anonymous user usage data,interactions,hypernymy
anonymous user usage data,usage information,hypernymy
anonymous user usage data,usage,hypernymy
apple game center id,unique identifier,hypernymy
apple game center id,unique identifiers,hypernymy
application information,software information,hypernymy
application information,software,hypernymy
application software,application information,hypernymy
application software,applications,hypernymy
application usage information,application information,hypernymy
application usage information,applications,hypernymy
application usage information,interactions,hypernymy
application usage information,usage information,hypernymy
application usage information,usage,hypernymy
application version number,application information,hypernymy
application version number,applications,hypernymy
application version number,version,hypernymy
applications,software information,hypernymy
applications,software,hypernymy
approximate geographic location,actual location,hypernymy
approximate geographic location,geo-location information,hypernymy
approximate geographic location,geo-location,hypernymy
approximate geographic location,geographic data,hypernymy
approximate geographic location,geographic information,hypernymy
approximate geographic location,geographic location information,hypernymy
approximate geographic location,geographic location,hypernymy
approximate geographic location,location data,hypernymy
approximate geographic location,location information,hypernymy
approximate geographic location,location,hypernymy
approximate geographic location,locations,hypernymy
approximate location,actual location,hypernymy
approximate location,geo-location information,hypernymy
approximate location,geo-location,hypernymy
approximate location,geographic data,hypernymy
approximate location,geographic information,hypernymy
approximate location,geographic location information,hypernymy
approximate location,geographic location,hypernymy
approximate location,location data,hypernymy
approximate location,location information,hypernymy
approximate location,location,hypernymy
approximate location,locations,hypernymy
area code,phone number,hypernymy
area code,telephone number,hypernymy
bandwidth,network performance,hypernymy
battery level,access device,hypernymy
battery level,access devices,hypernymy
battery level,device data,hypernymy
battery level,device information,hypernymy
battery level,device,hypernymy
battery level,device-related data,hypernymy
battery level,device-related information,hypernymy
battery level,device-specific information,hypernymy
battery level,devices,hypernymy
battery level,machine,hypernymy
bluetooth settings,mobile device information,hypernymy
bluetooth settings,mobile device technical information,hypernymy
bluetooth settings,mobile device,hypernymy
bluetooth settings,network information,hypernymy
bluetooth signal strength,network information,hypernymy
brower language,browser information,hypernymy
brower language,browser,hypernymy
browser information,software information,hypernymy
browser information,software,hypernymy
browser language,browser information,hypernymy
browser language,browser,hypernymy
browser language,language,hypernymy
browser type,browser information,hypernymy
browser type,browser,hypernymy
browser types,browser information,hypernymy
browser types,browser,hypernymy
browser,software information,hypernymy
browser,software,hypernymy
calendar entries,user information,hypernymy
call date,telephony log information,hypernymy
call duration,telephony log information,hypernymy
call time,telephony log information,hypernymy
call time,time,hypernymy
call time,timestamp,hypernymy
call types,telephony log information,hypernymy
calling-party number,telephony log information,hypernymy
carrier network,internet service provider,hypernymy
carrier network,isp,hypernymy
cell towers,actual location,hypernymy
cell towers,geo-location information,hypernymy
cell towers,geo-location,hypernymy
cell towers,geographic data,hypernymy
cell towers,geographic information,hypernymy
cell towers,geographic location information,hypernymy
cell towers,geographic location,hypernymy
cell towers,location data,hypernymy
cell towers,location information,hypernymy
cell towers,location,hypernymy
cell towers,locations,hypernymy
chat histories,chat text,hypernymy
chat histories,text messages,hypernymy
chat text,message,hypernymy
